id,created at,updated at,is archived,metadata,pest type,scientific name,stage pest,action threshold,action threshold risk,stage crop growth,cultural,cultural description,biological,biological description,pest presence period,no of plants affected
f498b6ee-c6df-448b-a0ba-6b8ebdec1b9c,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4,low,vegetative,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Remove dried leaves and stem,use of pheromone traps, Add repellant plants around tomato field",biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%).",1.0,1.0
cfceb693-eb81-4502-b308-4ae9032aad7c,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4,low,vegetative,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae,1.0,1.0
ecbf02dd-3f48-4e16-985f-d4cd4d0ac14e,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,adult,3-4 ,low,vegetative,none,none,microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana,1.0,1.0
59da1c4e-b755-4945-bd01-3426345abf08,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,pupae,8-13,none,vegetative,Field management,"ploughing, weeding",none ,none,0.0,0.0
952dc4eb-bd64-4f05-af62-b9173424f67f,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,pupae,8-12 ,none,vegetative,Field hygiene,"Remove dried leaves and stem,Bury all pest infested fruits and foliage 50-100 cm depth",Natural enemies,"Steinernema carpocapsae (Weiser), Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora PoinarMetarhizium anisopliae var. anisopliae (Metchnikoff)Conura sp. (syn Spilochalcis sp.)Invreia sp.Horismenus sp.Elasmus sp.",0.0,0.0
39895ae7-c64a-46c0-bb85-de0673070347,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,larvae,1-3,none,vegetative,crop management,"pruning,weeding",none ,none,1.0,1.0
ff2d3525-f898-443d-93d0-514b8846cc88,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,larvae,1-3,none,vegetative,Field hygiene,"Destroy infested plants/ plant parts,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts",Natural enemies,"Necremnus artynesHemiptarsenus zilahisebessi Erdo¨sGoniozus nigrifemurAgathis sp.Apanteles sp.Bracon sp.Chelonus sp.Earinus sp.Orgilussp.Pseudapanteles dignusChrysonotomyia sp.Clostrocerus formosusDineulophus phthormiaeaeHorismenus sp.Elasmus sp.Neochrysocharis formosaRetisympiesis phthorimaeaSympiesis sp.Tetrastichus sp.Zagrammosoma sp.Campoplex haywardiDiadegma sp.Pristomerus sp.Temelucha sp.Archytas sp.Nesidiocoris tenuisMacrolophus pygmaeusDicyphys marrocannusDicyphus erransDicyphus tamaninii WagnerTapinoma nigerrimum (Nylander) Steinernema feltiae (Filipjev), Heterorhabditis bacteriophora Poinar",1.0,1.0
cdf1433b-69e4-4e94-a3a7-fd3d696d7485,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,vegetative,nan,nan,none ,none,0.0,0.0
45edb116-fa35-4fa2-a008-c7d5006ca41c,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,vegetative,nan,nan,none ,none,0.0,0.0
2e8fd3f4-5e05-4b12-b319-ffb9730c41e8,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,vegetative,Field hgyiene,"Kill weed hosts,Removal of infected leaves,Bury all pest infested fruits and foliage 50-100 cm depth,Removal of alternate hosts within and outside tomato farm, conserve natural enemies, add repellant crops",none ,none,0.0,0.0
06dd61e0-1449-4cbe-a44a-4d6b1e924f98,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,vegetative,Crop management,"Pruning,training, Adequate irrigation,adequate fertilizer application",none ,none,0.0,0.0
3670e45c-1522-4fb4-8016-6a8fb78da80b,07/12/2023,07/12/2023,False,{},Leaf miner,Tuta absoluta,eggs,none,none,vegetative,Field management,"Ploughing,Manuring",Natural enemies,"Trichogramma sp,Necremnus sp. nr. artynes (Walker), Stenomesius cf.japonicus (Ashmead),Neochrysocharis formosa (Westwood),Arrhenophagus sp,Copidosoma sp,Anastatus sp,Nesidiocoris tenuis,Macrolophus pygmaeus,Dicyphys marrocannus,Dicyphus errans,Dicyphus tamaninii Wagner",0.0,0.0
