type of pest,Scientific_name,stage_pest,action_threshold,Period of pest presence,No of Plants affected,action_threshold_risk,stage_crop growth,cultural,cultural_description,biological,biological_description
Leaf miner,Tuta absoluta,pupae,8-12 ,0.00,100.00,none,Fruiting ,Field management,"plouhing,weeding",none ,none
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Fruiting ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Fruiting ,crop management,"adeaquate irrigation, adequate fertilizer application",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Fruiting ,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,3-4 ,1.00,0.00,low,Fruiting ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves,use of pheromone traps,add repellant crops around the tomato rows, conserve natural enemies",none ,none
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Fruiting ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Fruiting ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,4-30 ,1.00,0.00,Moderate ,Fruiting ,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Fruiting ,none,none,biopesticides,"Nimbecidine, Neemark EC, Achook 0.15 EC, Neemroc, Azadirachtin (0.15%)."
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Fruiting ,Field hygiene,"Removal of alternate hosts within and outside tomato farm,Removal of infected leaves, use of pheromone traps",microbial pesticides,Bacillus thuringiensis var. kurstaki (Btk)Beauveria bassiana
Leaf miner,Tuta absoluta,Adult,> 30 ,1.00,0.00,High,Fruiting ,none,none,Natural enemies,Heterorhabditis bacteriophoraMetarhizium anisopliae
